shooter,season,team,conf,class,position,FTs,FTM,FTpct,Trank,shot_team,playerCode,power
jase febres,2019-20,Texas,B12,jr,G,24,19,0.791666667,Texas,Texas,jafebres,Power
jasean jackson,2021-22,Abil Christian,WAC,fr,G,24,20,0.833333333,Abilene Christian,Abilene Christian,jajackson,Non-Power
jason douglas-stanley,2020-21,Manhattan,MAAC,jr,G,24,15,0.625,Manhattan,Manhattan,jadouglas,Non-Power
jason strong,2019-20,Northeastern,CAA,so,F,24,14,0.583333333,Northeastern,Northeastern,jastrong,Non-Power
jason whitens,2019-20,W Michigan,MAC,so,G,24,13,0.541666667,Western Michigan,Western Michigan,jawhitens,Non-Power
javan white,2018-19,Clemson,ACC,sr,F,24,11,0.458333333,Clemson,Clemson,jawhite,Power
javonte brown,2021-22,Texas A&M,SEC,fr,F,24,8,0.333333333,Texas A&M,Texas A&M,jabrown,Power
jax levitch,2017-18,Fort Wayne,Sum,so,G,24,14,0.583333333,Fort Wayne,Purdue Fort Wayne,jalevitch,Non-Power
jayce johnson,2020-21,Mid Tennessee,CUSA,jr,G,24,14,0.583333333,Middle Tennessee,Middle Tennessee,jajohnson,Non-Power
jayden hardaway,2020-21,Memphis,Amer,so,G,24,16,0.666666667,Memphis,Memphis,jahardaway,Non-Power
jaylen butz,2021-22,W Kentucky,CUSA,sr,F,24,10,0.416666667,Western Kentucky,Western Kentucky,jabutz,Non-Power
jaylen mccoy,2018-19,SIUE,OVC,sr,G,24,19,0.791666667,SIU Edwardsville,SIU Edwardsville,jamccoy,Non-Power
johnny mccoy,2020-21,Delaware,CAA,so,G,24,15,0.625,Delaware,Delaware,jomccoy,Non-Power
jon williams,2017-18,Robert Morris,NEC,fr,G,24,18,0.75,Robert Morris,Robert Morris,jowilliams,Non-Power
jonathan sanks,2017-18,Canisius,MAAC,jr,G,24,16,0.666666667,Canisius,Canisius,josanks,Non-Power
jordan harris,2017-18,Georgia,SEC,so,G,24,16,0.666666667,Georgia,Georgia,joharris,Power
jordan little,2018-19,Morgan State,MEAC,jr,F,24,13,0.541666667,Morgan St.,Morgan State,jolittle,Non-Power
joseph smoyer,2019-20,Columbia,Ivy,jr,F,24,16,0.666666667,Columbia,Columbia,josmoyer,Non-Power
josh ayeni,2017-18,St Bonaventure,A10,so,F,24,15,0.625,St. Bonaventure,St. Bonaventure,joayeni,Non-Power
josh berenbaum,2021-22,North Florida,ASun,fr,F,24,14,0.583333333,North Florida,North Florida,joberenbaum,Non-Power
josh leblanc,2021-22,UAB,CUSA,jr,F/C,24,20,0.833333333,UAB,UAB,joleblanc,Non-Power
josh nicholas,2020-21,UL Monroe,SB,sr,G,24,20,0.833333333,Louisiana Monroe,Ul Monroe,jonicholas,Non-Power
josh warren,2017-18,Cornell,Ivy,so,F/C,24,19,0.791666667,Cornell,Cornell,jowarren,Non-Power
joshua filmore,2017-18,SE Louisiana,Slnd,sr,G,24,14,0.583333333,Southeastern Louisiana,SE Louisiana,jofilmore,Non-Power
josiah jeffers,2020-21,Radford,BSth,jr,G,24,21,0.875,Radford,Radford,jojeffers,Non-Power
julian rishwain,2019-20,Boston College,ACC,fr,G,24,14,0.583333333,Boston College,Boston College,jurishwain,Power
junior farquhar,2018-19,Mid Tennessee,CUSA,fr,G,24,16,0.666666667,Middle Tennessee,Middle Tennessee,jufarquhar,Non-Power
