"Corey Henson",Nevada,MWC,31,28.6,107,11.1,51.5,55.59,1.5,6.1,8.8,18.1,13,14,0.929,11,18,0.611,16,50,0.32,0,2.2,20.6,Sr,6-3,2,0.299691,94.341,3.9,2019,33655,"Upper Marlboro, MD",,1.50000003,8,9,3,9,0.8889,0.3333,0,0,,,98.384,96.7349,1.42487,67.3754,0.934415,0.310715,0.6237,0.308036,12.5484,-1.92371,2.23174,0.1613,0.7097,0.8710,0.6774,0.4839,0.0000,2.6774,"Combo G",7.20675
"Antonio Woods",Penn,Ivy,30,84.7,97.8,17.9,48.2,49.11,2.4,12.6,16.3,16.3,34,62,0.548,55,125,0.44,52,151,0.344,0.5,1.4,22.5,Sr,6-1,2,0.999715,95.9666,2.4,2019,33664,"Cincinnati, OH",49.4,1.80773817,50,102,5,23,0.4902,0.2174,0,0,,,100.28,100.77,3.37087,176.533,0.752536,-0.0956829,0.848219,0.0737378,34.0968,-0.506102,0.579839,0.6774,3.8065,4.4839,3.0323,0.8710,0.1613,10.1290,"Combo G",8.48837
"Nathan Moran",Lipscomb,ASun,34,31.6,96,19.2,46.1,51.68,1.9,6.4,16.2,22.8,29,30,0.967,9,23,0.391,33,104,0.317,0.2,2.2,23.6,Sr,5-10,5,0.363186,95.4913,2.9,2019,33668,"Franklin, TN",,1.29723686,7,13,2,10,0.5385,0.2000,0,0,,,99.4388,100.032,1.33044,81.0576,-0.754752,0.134774,-0.889526,-0.667508,13.0000,-0.908692,0.241183,0.2500,0.7500,1.0000,1.3333,0.5278,0.0278,4.3889,"Combo G",12.64
"Trevor John",Drexel,CAA,31,82.1,123.9,13.9,58,60.13,1.7,7.3,5.5,6.9,30,32,0.938,20,40,0.5,95,240,0.396,0.1,1.2,11.4,Sr,6-3,23,2.57709,110.074,2,2019,33674,"Danville, CA",,1.83324454,11,15,9,25,0.7333,0.3600,0,1,0.0000,,116.217,115.772,1.55951,146.165,0.406304,3.10203,-2.69573,0.494476,32.5312,2.34756,-1.85308,0.4688,2.0000,2.4688,1.0312,0.6562,0.0312,11.9062,"Wing G",13.6128
"Aleks Abrams","Miami OH",MAC,29,21.3,82.6,13.3,32.3,34.97,19,17.8,2.1,30.8,6,13,0.462,10,31,0.323,0,0,0,7.5,0.9,41.9,Sr,6-8,21,-0.361315,75.6581,5.4,2019,33677,"Newbury Park, CA",,0.28565102,10,21,0,10,0.4762,0.0000,0,0,,,101.645,100.555,0.885005,51.4697,-1.41556,-4.73045,3.3149,-4.1463,9.4194,-4.29171,0.145415,1.7097,1.5806,3.2903,0.1935,0.1613,0.6452,1.3548,C,0
"Terrell Lewis","Eastern Illinois",OVC,2,2,43,23.3,0,16.81,0,8.8,30.9,47.9,2,2,1,0,1,0,0,4,0,0,2.2,40,Sr,5-7,2,-1.88985,42.9456,7.7,2019,33679,"St. Louis, MO",,1.00000000,0,1,0,0,0.0000,,0,0,,,111.582,115.63,0.587103,4.35117,-19.2838,-14.0836,-5.20018,-17.6222,13.0000,-14.496,-3.12623,0.0000,1.0000,1.0000,2.5000,0.5000,0.0000,1.0000,"Pure PG",9.14201
"Zacarry Douglas","North Carolina Central",MEAC,31,68.8,102.6,17.1,46.7,49.82,7.8,24.6,8.5,16.2,44,63,0.698,68,139,0.489,26,90,0.289,1.9,1.3,27.5,Sr,6-8,1,0.648532,94.2461,3.3,2019,33690,"Landover, MD",,0.95653782,46,77,22,62,0.5974,0.3548,10,13,0.7692,,98.3642,105.634,2.27623,173.387,-0.455256,-0.852374,0.397117,-0.686417,27.4118,-0.339927,-0.34649,1.7353,6.0294,7.7647,1.2941,0.7647,0.5588,8.8824,"Stretch 4",6.24151
"Justin Coleman",Arizona,P12,32,76.4,100,18.4,46.6,51.94,0.8,9.3,23.4,22,67,85,0.788,49,123,0.398,40,111,0.36,0,1.7,36.3,Sr,5-10,12,1.36137,100.303,2.6,2019,33702,"Birmingham, AL",83.2,1.77938820,34,66,15,57,0.5152,0.2632,0,0,,,101.856,98.0805,3.32551,167.273,0.949944,0.170231,0.779713,0.4737,30.7812,-0.659235,1.13294,0.2188,2.3750,2.5938,3.7812,0.9062,0.0000,8.9062,"Scoring PG",6.59923
"Hassan Hussein",Southern,SWAC,21,16.1,93.8,18.5,45.2,47.9,6.7,13.7,3.4,15.9,7,8,0.875,27,61,0.443,1,2,0.5,5.5,0.9,12.7,Sr,6-9,10,0.0801754,89.8988,5,2019,33721,"Lorton, VA",,0.25004584,10,18,17,43,0.5556,0.3953,0,0,,,108.613,112.849,0.545636,33.7463,-6.01586,-5.00604,-1.00983,-4.89528,9.7727,-2.9612,-1.93407,0.5455,1.0000,1.5455,0.1364,0.1818,0.4091,3.0909,PF/C,0.585738
"Josh Delaney","Sam Houston St.",Slnd,30,76.6,107.9,21.1,48.2,53.08,1.5,7.8,29.5,19.4,65,76,0.855,42,109,0.385,59,162,0.364,0.1,1.3,28,Sr,6-0,15,2.04404,106.691,2.3,2019,33733,"Harker Heights, TX",,2.20836023,31,71,11,38,0.4366,0.2895,0,0,,,107.253,110.867,1.97595,136.201,-1.70236,1.65109,-3.35345,-0.649015,30.4242,1.32695,-1.97597,0.4545,1.9091,2.3636,4.8182,0.7879,0.0606,10.4242,"Pure PG",10.1887
"Logan Power","South Dakota",Sum,16,14.1,120.9,17.9,55.6,61.39,4.5,9.4,6.7,8.2,14,15,0.933,10,16,0.625,10,29,0.345,0,0.7,33.3,Sr,6-6,33,0.973611,115.913,4.8,2019,33735,"Lincoln, NE",,1.19978402,6,10,4,6,0.6000,0.6667,0,0,,,110.189,109.151,0.694841,22.7878,-1.79125,1.67958,-3.47084,1.15507,10.1667,1.665,-0.509933,0.5000,0.7222,1.2222,0.3333,0.1111,0.0000,4.1667,"Wing F",10.7354
