"Drew Buggs",Winthrop,BSth,29,61.6,103.2,19,53.6,54.95,2.4,11.3,31.6,27,24,38,0.632,55,105,0.524,18,48,0.375,0.8,1.8,24.8,Sr,6-3,11,1.34663,101.143,2.5,2022,45642,"Long Beach, CA",27.6,1.91544973,40,69,15,36,0.5797,0.4167,0,0,,,104.592,106.361,1.7992,124.319,-1.32462,-0.158114,-1.16651,-1.4689,24.4688,-0.294891,-1.17401,0.5312,2.3438,2.8750,4.2500,0.7188,0.2188,6.1562,"Scoring PG",3.84554
"DJ Jones","Florida A&M",SWAC,28,68.7,88.8,18.3,48.1,48.6,6.9,17.2,5.4,20.1,15,28,0.536,102,210,0.486,0,2,0,5.1,1.2,13.2,Sr,6-9,25,-0.0164216,85.2256,4.9,2022,45744,"Brusly Rouge, LA",,0.41999159,58,90,47,129,0.6444,0.3643,16,20,0.8000,,100.425,105.427,2.09419,149.751,-3.8488,-4.46621,0.617414,-4.73589,27.3000,-4.18906,-0.546827,1.6000,4.1667,5.7667,0.7000,0.5333,1.2333,7.8667,C,0.153441
"Keith Fisher III",Pepperdine,WCC,16,33.5,93.4,19.5,43.7,47.12,8.1,17.9,9.1,16.5,23,32,0.719,42,89,0.472,9,38,0.237,0.5,0.7,25.2,Sr,6-8,3,0.767458,93.9095,5.5,2022,45815,"Los Angeles, CA",32.0,0.87498224,26,43,16,46,0.6047,0.3478,5,5,1.0000,,109.125,108.436,1.70975,72.6178,-2.92855,-1.37386,-1.5547,-3.80048,26.0588,-2.63354,-1.16694,1.9412,4.4706,6.4118,1.2353,0.3529,0.1176,8.5882,"Stretch 4",5.10426
"Ben Coupet Jr.","Southern Illinois",MVC,30,73.1,109.7,19.5,54.9,58.62,4.7,16.6,5.8,13.7,65,85,0.765,53,112,0.473,51,124,0.411,1,0.9,36,Sr,6-7,25,2.44662,109.517,2.1,2022,45818,"Chicago, IL",,0.71055634,43,78,10,34,0.5513,0.2941,10,12,0.8333,,100.363,99.9153,2.78782,137.468,0.990108,1.10037,-0.110266,1.6772,29.2258,2.03996,-0.362754,1.0323,3.5806,4.6129,0.8710,0.4516,0.2581,10.9677,"Wing F",8.96197
"Kenny Cooper","Tennessee St.",OVC,28,71.5,99.5,15.9,40.8,47.27,1.8,10,21,19.1,56,73,0.767,34,117,0.291,26,62,0.419,1,2.6,40.8,Sr,6-1,21,0.663905,91.6404,2.7,2022,45823,"Nashville, TN",,2.34787700,22,58,12,59,0.3793,0.2034,0,0,,,102.993,107.826,2.08155,153.774,-0.713655,-0.575805,-0.13785,-0.873943,30.2000,-1.41671,0.542772,0.4333,2.6333,3.0667,3.6000,1.3333,0.2333,7.1667,"Scoring PG",4.1743
"Monty Scott","Eastern Michigan",MAC,27,61.2,92.9,21.5,46.4,47.6,1.2,9.2,15.8,14.6,29,50,0.58,74,162,0.457,32,101,0.317,0.3,2.3,19,Sr,6-5,2,0.653221,92.3353,2.5,2022,45828,"Union, NJ",,1.34090617,37,71,35,85,0.5211,0.4118,0,0,,,107.204,107.621,1.86213,131.096,-2.4042,-0.852458,-1.55174,-2.64152,27.7857,-1.79359,-0.84793,0.3571,2.2500,2.6071,2.1071,1.1786,0.0714,10.1786,"Combo G",7.5825
"Nick Hopkins",Siena,MAAC,28,60.8,106.8,16.3,52.8,54.31,2.4,8.7,9.7,12.8,17,22,0.773,30,69,0.435,48,124,0.387,0.4,3.5,11.4,Sr,6-0,0,1.2688,99.9291,2,2022,45835,"Fayetteville, TN",,1.31996860,7,14,23,55,0.5000,0.4182,0,0,,,101.414,103.503,2.08641,128.617,1.97794,1.85421,0.12374,1.85396,25.5000,0.517944,1.33601,0.5000,1.8929,2.3929,1.1786,1.5000,0.1071,7.8929,"Combo G",10.3839
"DeAndre Dishman","Middle Tennessee",CUSA,35,68.7,102.5,22.1,52.3,55.36,7.5,14,16.4,22,88,138,0.638,134,255,0.525,0,1,0,2.5,2.3,53.9,Jr,6-6,2,1.80716,104.358,3,2022,45840,"Lexington, KY",,0.96389083,105,174,29,81,0.6034,0.3580,11,14,0.7857,,98.2852,98.3603,2.76812,183.447,1.64792,-0.347487,1.9954,1.39455,27.3784,0.49422,0.900329,1.6486,3.2432,4.8919,2.1622,1.0541,0.5676,9.8378,"Wing F",0.0599389
"Osinachi Smart","College of Charleston",CAA,31,35.3,110.4,13.3,58,59.32,13,22,4.1,23.2,19,30,0.633,47,81,0.58,0,0,0,2.3,2,37,Sr,6-8,33,0.712007,99.4342,6.2,2022,45853,"Umuahia, Nigeria",,0.42303564,41,65,6,16,0.6308,0.3750,12,18,0.6667,,99.8644,99.0197,1.43951,98.9509,1.00406,-0.0586526,1.06271,-0.540789,14.6774,-0.88099,0.340202,1.8065,2.8387,4.6452,0.3548,0.5484,0.3226,3.6452,C,0
"Corey Allen","Georgia St.",SB,23,68,98,26,43.6,46.27,1.4,9.8,22.4,13,44,60,0.733,57,155,0.368,57,172,0.331,0.5,2.5,18.3,Sr,6-2,11,2.26185,106.535,2.1,2022,45896,"Ypsilanti, MI",,1.74464786,25,48,32,107,0.5208,0.2991,0,0,,,101.631,102.452,2.66949,120.774,1.16021,2.14857,-0.988357,2.23158,30.4231,2.20415,0.0274314,0.4615,3.0000,3.4615,3.1538,1.5385,0.1538,14.7308,"Scoring PG",14.1445
